platform_seq,platform_name,song_type_txt,album_cd,album_name_kor,album_name_eng,song_cd,song_name_kor,song_name_eng,song_release_date,artist_cd,artist_name_kor,artist_name_eng,mem_cd,mem_name,track_cd,isrc_cd,interest_yn,platform_artist_ids,platform_song_ids
80,지니뮤직,대중음악,A1016461,벗2,Friend2,A1016461T002,무심세월,Indifferent years,43588,S106243,나훈아,Na Hoon-A,"L20220920,L20221323","다날엔터_예소리 수수료,예소리",A1016461T002,QZEKE1864209,Y,{},"{""GENIE"": ""88876359""}"
80,지니뮤직,어린이,A1016529,"우리 아이 감성 발달 인기 동요 베스트 100 (키즈카페, 어린이집, 유치원, 유아, 신나는 율동, 교과서, 창작, 필수, 누리과정)",Our Child Sentimental Development Popular Kids Song Best 100,A1016529T001,곰세마리,Three Bears,43613,S107216,동요,동요,L20220666,플라이트래빗,A1016529T001,QZEKE1864642,Y,{},"{""GENIE"": ""88975419""}"
80,지니뮤직,어린이,A1016529,"우리 아이 감성 발달 인기 동요 베스트 100 (키즈카페, 어린이집, 유치원, 유아, 신나는 율동, 교과서, 창작, 필수, 누리과정)",Our Child Sentimental Development Popular Kids Song Best 100,A1016529T002,멋쟁이 토마토,Dandy Tomato,43613,S107216,동요,동요,L20220666,플라이트래빗,A1016529T002,QZEKE1864643,Y,{},"{""GENIE"": ""88975420""}"
80,지니뮤직,어린이,A1016529,"우리 아이 감성 발달 인기 동요 베스트 100 (키즈카페, 어린이집, 유치원, 유아, 신나는 율동, 교과서, 창작, 필수, 누리과정)",Our Child Sentimental Development Popular Kids Song Best 100,A1016529T003,악어떼,Crocodiles,43613,S107216,동요,동요,L20220666,플라이트래빗,A1016529T003,QZEKE1864644,Y,{},"{""GENIE"": ""88975421""}"
80,지니뮤직,어린이,A1016529,"우리 아이 감성 발달 인기 동요 베스트 100 (키즈카페, 어린이집, 유치원, 유아, 신나는 율동, 교과서, 창작, 필수, 누리과정)",Our Child Sentimental Development Popular Kids Song Best 100,A1016529T005,그대로 멈춰라,Just Stop,43613,S107216,동요,동요,L20220666,플라이트래빗,A1016529T005,QZEKE1864646,Y,{},"{""GENIE"": ""88975423""}"
80,지니뮤직,어린이,A1016529,"우리 아이 감성 발달 인기 동요 베스트 100 (키즈카페, 어린이집, 유치원, 유아, 신나는 율동, 교과서, 창작, 필수, 누리과정)",Our Child Sentimental Development Popular Kids Song Best 100,A1016529T009,둥글게 둥글게,Roundly Roundly,43613,S107216,동요,동요,L20220666,플라이트래빗,A1016529T009,QZEKE1864650,Y,{},"{""GENIE"": ""88975427""}"
80,지니뮤직,어린이,A1016529,"우리 아이 감성 발달 인기 동요 베스트 100 (키즈카페, 어린이집, 유치원, 유아, 신나는 율동, 교과서, 창작, 필수, 누리과정)",Our Child Sentimental Development Popular Kids Song Best 100,A1016529T088,모두 제자리,All in place,43613,S107216,동요,동요,L20220666,플라이트래빗,A1016529T088,QZEKE1864729,Y,{},"{""GENIE"": ""88975506""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T001,호키포키 (율동동요),Hoki Poki (Rhythm Children`s Song),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T001,QZEKE1865394,Y,{},"{""GENIE"": ""89089023""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T002,악어떼 (유치원 인기동요),Crocodiles (Kindergarten Popular Kids Song),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T002,QZEKE1865395,Y,{},"{""GENIE"": ""89089024""}"
80,지니뮤직,어린이,A1016552,"창의력 발달 어린이 인기 동요 베스트 180 (유치원, 키즈카페, 어린이집, 유아, 초등학교, 신나는 율동, 교과서, 창작, 필수, 누리과정, TV만화 주제곡)",Creativity Development Best Children's Song 180,A1016552T003,통통통통 (통통통통 털보영감님),Tong Tong Tong Tong (Tongtongtongtong Hairy Old Man),43634,S107216,동요,동요,L20220666,플라이트래빗,A1016552T003,QZEKE1865396,Y,{},"{""GENIE"": ""89089025""}"
